%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1676519494799206008,375,1676519494798967991,,0,0,22.41611495602056,114.04270724922627,99.69549560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519494999658905,376,1676519494999439077,,0,0,22.416114955337804,114.04270724146562,99.69298553466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519495200276581,377,1676519495199860689,,0,0,22.416114948505104,114.04270722904846,99.68641662597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519495400070119,378,1676519495399849471,,0,0,22.416114917895865,114.04270722726243,99.68599700927734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519495599208021,379,1676519495598975457,,0,0,22.41611492299519,114.04270724078499,99.69092559814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519495800713805,380,1676519495799784633,,0,0,22.416114939421995,114.04270723137557,99.68522644042969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519496000168469,381,1676519495999937768,,0,0,22.416114909857793,114.0427072206251,99.67829132080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519496199578126,382,1676519496199339127,,0,0,22.416114925686784,114.04270722071854,99.67930603027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519496399306419,383,1676519496399042378,,0,0,22.416114927232694,114.04270722474445,99.67738342285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519496599400758,384,1676519496599129421,,0,0,22.416114937103522,114.04270719893748,99.6882095336914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519496799710222,385,1676519496799492670,,0,0,22.416114938929212,114.04270720489961,99.68518829345703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519496999749770,386,1676519496999525662,,0,0,22.416114942796874,114.04270722280687,99.68428039550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519497198481326,387,1676519497198324824,,0,0,22.41611492733036,114.04270721430228,99.677978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519497399915270,388,1676519497399724414,,0,0,22.416114938729883,114.04270720948381,99.67951202392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519497599239491,389,1676519497599036311,,0,0,22.41611491235287,114.04270720759601,99.68314361572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519497799009333,390,1676519497798814410,,0,0,22.416114938417536,114.04270721109384,99.68450164794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519497998320348,391,1676519497998118252,,0,0,22.41611489722424,114.04270723419198,99.68182373046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519498199049499,392,1676519498198791973,,0,0,22.416114931439928,114.04270723184511,99.68140411376953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519498398916885,393,1676519498398568258,,0,0,22.41611491364275,114.04270720728444,99.6868667602539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519498599223975,394,1676519498599026158,,0,0,22.416114941386986,114.04270716316037,99.70652770996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519498798693370,395,1676519498798418061,,0,0,22.416114961868004,114.04270712056329,99.7042236328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519498998687609,396,1676519498998439117,,0,0,22.416114944476103,114.04270712942107,99.70358276367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519499199054607,397,1676519499198814609,,0,0,22.416114916934823,114.04270713541786,99.71552276611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519499398824105,398,1676519499398619037,,0,0,22.416114941215763,114.04270713365418,99.711181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519499599160348,399,1676519499598874780,,0,0,22.416114940815884,114.04270712779666,99.6970443725586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519499799003513,400,1676519499798814634,,0,0,22.41611493261924,114.04270713328185,99.68513488769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519499998713413,401,1676519499998536585,,0,0,22.416114967356712,114.04270713881188,99.6978988647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519500198583861,402,1676519500198406500,,0,0,22.416114941891923,114.04270716412111,99.69620513916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519500399007690,403,1676519500398733034,,0,0,22.416114976587984,114.04270716574406,99.69713592529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519500598411266,404,1676519500598233223,,0,0,22.416115015586538,114.04270717088936,99.70272064208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519500799286044,405,1676519500798979010,,0,0,22.4161149491909,114.04270716451377,99.70455932617188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519500998441696,406,1676519500998232967,,0,0,22.416114948163955,114.04270721660767,99.70487976074219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519501198746010,407,1676519501198524847,,0,0,22.416114938846956,114.04270722286297,99.7046127319336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519501398331555,408,1676519501398119295,,0,0,22.416114962337748,114.04270725582441,99.70222473144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519501599078260,409,1676519501598855827,,0,0,22.416114965529328,114.04270728556499,99.71418762207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519501798222921,410,1676519501797994716,,0,0,22.41611489420599,114.0427072887069,99.70277404785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519501999052926,411,1676519501998857690,,0,0,22.41611483991727,114.04270731240786,99.70361328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519502198298943,412,1676519502198086390,,0,0,22.416114859218375,114.04270728702657,99.6866226196289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519502398770084,413,1676519502398505585,,0,0,22.416114870286684,114.0427073321485,99.69713592529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519502598242920,414,1676519502598038884,,0,0,22.41611480572831,114.04270738342476,99.6693115234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519502798396675,415,1676519502798199980,,0,0,22.416114798421564,114.04270730480074,99.67805480957031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519502998957858,416,1676519502998707289,,0,0,22.416114842820928,114.04270739789246,99.68328857421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519503198232233,417,1676519503197994315,,0,0,22.416114815603404,114.0427073075231,99.69264221191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519503399040994,418,1676519503398804144,,0,0,22.416114822022415,114.04270721868589,99.66593933105469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519503598921377,419,1676519503598707722,,0,0,22.416114843119566,114.04270723393368,99.66670227050781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519503798415673,420,1676519503798167497,,0,0,22.416114883756304,114.04270719523183,99.6664047241211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519503998422605,421,1676519503998266248,,0,0,22.416114871333317,114.04270718228007,99.66109466552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519504198795557,422,1676519504198527333,,0,0,22.41611489471703,114.04270725659435,99.65345001220703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519504398557495,423,1676519504398293850,,0,0,22.416114922643413,114.04270725218133,99.6694564819336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519504598185026,424,1676519504597975763,,0,0,22.416114940229708,114.04270725025532,99.6623764038086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519504798850771,425,1676519504798666790,,0,0,22.416114922859677,114.04270724959805,99.65499877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519504999002459,426,1676519504998789926,,0,0,22.41611492228151,114.04270721834523,99.6449203491211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1676519505198249839,427,1676519505198077596,,0,0,22.41611491039609,114.04270722621936,99.65989685058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
